"Key","Meaning1","Meaning2","Meaning3","Meaning4","user_id"
"Ank","अंक ","Figure","Digit","Number",""
"Ankganit","अंकगणित","Arithmetic","Figures","",""
"Akad","अकड","Swagger","Aris","Graces",""
"Akathit","अकथित","Unsaid","Untold","",""
"Ankan","अंकन","Marking","","",""
"Akara","अकरा","Eleven","","",""
"Akarm","अकर्म","Misdeed","","",""
"Akarmak","अकर्मक","intransive","","",""
"Akalank","अकलंक","Stainless ","Spotless","",""
"Akalpaniy","अकल्पनीय","Unimaginable","Inconcevable","",""
"Akasmat","अकस्मात","Sudden","","",""
"Akadami","अकादमी","Academy","","",""
"Akaran","अकारण","Unnecessary","Needness","Without Reason",""
"Akaryaksham","अकार्यक्षम","Inefficient","Incompetent","",""
"Akali","अकाली","Untimely","premature","",""
"Ankit","अंकित","Marked","Dependent","Subject",""
"Ankur","अंकुर","Bud","Sprout","Shoot",""
"Ankush","अंकुश","Goad","Check","Control",""
"Akushal","अकुशल","Inexpert","Unskilful","Hamfisted",""
"Akrutadnya","अकृतज्ञ","Ungrateful","","",""
"Akrutrim","अकृत्रिम","Natural","","",""
"Akkad","अक्कड","Swagger","Aris","Graces",""
"Akkal","अक्कल","Sense","Common sense","mind",""
"Akriyashil","अक्रियाशील","Passive","","",""
"Akrod","अक्रोड","Walnut","","",""
"Akhand","अखंड","Solid","Intact","Unbroken",""
"Akhandaniy","अखंडनीय","Irrefutable","Incontrovertible","Ungainsayable",""
"Akhatyar","अखत्यार","Authority","Power","",""
"Aakhada","आखाडा","Ring","Arena","Gyamnasium",""
"Akhil","अखिल","Entire","All","Whole",""
"Akher","अखेर","End","Conclusion","Finally",""
"Akkhya","अख्खा","Entire","Whole","",""
"Ang","अंग","Body","Side","Aspect",""
"Angkathi","अंगकाठी","Build ","Physique","Frame",""
"Angacha","अंगचा","Inherent","innate","Inborn",""
"Angchukar","अंगचुकार","idle","Workshy","",""
"Angchor","अंगचोर","Shirker","Slacker","Dodger",""
"Angatha","अंगठा","Thumb","TheBig Toe","",""
"Anghathi","अंगठी","A Ring","","",""
"Anghathebahaddar","अंगठेबहाद्दर","Illiterate","Unlettered","",""
"Agadbamb","अगडबंब","Huge","Mammoth","Giant",""
"Angan","अंगण","Yard","Court","Courtyard",""
"Agananiy","अगणनीय","Uncountable","","",""
"Aganit","अगणित","Countless","Innumerable","Unnumbered",""
"Agatik","अगतिक","Helpless","","",""
"Aagatya","आगत्य","Earnestness","Hospitality","",""
"Angtran","अंगत्राण","Armour","","",""
"Agadi","अगदी","Just","","",""
"Angbhar","अंगभर","enough to cover one's body","","",""
"Angabhut","अंगभूत","intrinsic","inherent","",""
"Angmehanat","अंगमेहनत","haard physical work","toil ","labour",""
"Agamya","अगम्य","inaccessible","inscrutable","recondite",""
"Angayashthi","अंगायष्ठी","physique","build","frame",""
"Agar","अगर","or","","",""
"Angarakha","अंगरखा","a robe","","",""
"Agarbatti","अगरबत्ती","an incense-stick","","",""
"Angarakshak","अंगरक्षक","a bodyguard","","",""
"Angalat","अंगलट","to boomerang","recoil","backfire",""
"Angvastra","अंगवस्त्र","cloth","concubine","",""
"Angvikshep","अंगविक्षेप","gesticulation","","",""
"Anghin","अंगहीन","bodiless","","",""
"Angai","अंगाई","a lullaby","cradle-song","",""
"Aagau","आगाऊ","in advance","","",""
"Agaadh","अगाध","bottomless","fathomless","abysmal",""
"Angapicha","अंगापिछा","backgroung","antecedents","history",""
"Angikar","अंगीकार","acceptance","adoption","",""
"Anguli","अंगुली","the finger","","",""
"Agochar","अगोचर","imperceptible","","",""
"Agni","अग्नी","fire","","",""
"Agnastra","अग्नस्त्र","a firearm","","",""
"Aagyari","आग्यारी","a fire temple","","",""
"Agra","अग्र","a tip","end","apex",""
"Agrakram","अग्रक्रम","priority","precedence","",""
"Agarganya","अग्रगण्य","leading","prominent","chief",""
"Agrani","अग्रणी","leading","a leader","",""
"Agrata","अग्रता","priority","","",""
"Agradoot","अग्रदूत","a forerunner","herald","precursor",""
"Agrabhag","अग्रभाग","the front","the forefront","the fore",""
"Agramanankit","अग्रमानांकित","top-seeded","","",""
"Agralekha","अग्रलेख","an editorial","leading article","",""
"Agrahya","अग्राह्य","unacceptable","invalid","void",""
"Agrim","अग्रिम","advance","","",""
